"FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H"
60,35,0,0,83.3101806640625,0
581,489,456.721832275391,515.7041015625,333.24072265625,470.154724121094
334,99,724.210021972656,0,662.805969238281,231.533493041992
278,73,677.25732421875,0,606.449096679688,50.7956123352051
137,83,576.237854003906,107.905479431152,616.250305175781,0
97,26,0,113.510955810547,63.7077827453613,31.8949184417725
332,112,85.3685684204102,177.973968505859,116.389221191406,0
405,157,295.944366455078,462.452056884766,323.439514160156,408.727478027344
77,34,41.261474609375,130.327392578125,0,339.031188964844
230,80,0,0,0,272.878753662109
337,69,4.26842832565308,235.430130004883,61.2574844360352,236.258666992188
140,72,44.1070938110352,0,0,180.737869262695
156,114,101.019470214844,220.015075683594,110.263473510742,314.224029541016
112,32,0,35.0342483520508,8.57604789733887,0
81,29,0,0,50.2311363220215,93.3221740722656
272,92,15.6509037017822,0,267.082641601562,189.006927490234
76,84,89.6369934082031,0,129.865875244141,191.369522094727
243,134,0,0,42.880241394043,356.750579833984
82,38,5.69123792648315,166.763015747070,45.3305397033691,327.218231201172
175,98,4.26842832565308,0,728.964050292969,131.123550415039
81,71,34.1474266052246,0,142.117370605469,292.960723876953
76,14,115.247566223145,0,0,282.3291015625
317,126,42.6842842102051,89.6876678466797,129.865875244141,373.288696289062
599,270,497.983306884766,288.682189941406,377.346099853516,185.463043212891
61,17,0,0,182.547302246094,121.673210144043
80,60,32.7246170043945,0,184.997604370117,386.282897949219
66,95,125.207229614258,51.8506851196289,0,60.2459602355957
567,191,321.554931640625,68.667121887207,263.407196044922,163.018478393555
124,35,0,126.123291015625,123.740119934082,0
63,140,34.1474266052246,0,79.6347274780273,179.556579589844
114,108,0,213.008224487305,75.9592819213867,284.691680908203
206,44,0,60.258903503418,0,328.399536132812
158,81,18.4965229034424,163.960281372070,131.091018676758,353.206695556641
283,146,0,601.187683105469,453.305389404297,745.396057128906
144,48,0,70.0684967041016,143.342514038086,307.136260986328
138,84,93.9054260253906,95.2931518554688,159.269454956055,56.7020797729492
97,23,0,0,30.6287422180176,277.603912353516
260,166,288.830322265625,308.301361083984,166.620361328125,425.265594482422
1023,1023,721.364379882812,605.391784667969,617.475463867188,496.143188476562
